Date time,Home (kW),Solar (kW),Grid (kW)
2023-06-29T00:00:00-05:00,3.1,0.0,3.2
2023-06-29T00:05:00-05:00,3.2,0.0,3.5
2023-06-29T00:10:00-05:00,3.5,0.0,3.4
2023-06-29T00:15:00-05:00,3.4,0.0,2.2
2023-06-29T00:20:00-05:00,2.2,0.0,0.2
2023-06-29T00:25:00-05:00,0.2,0.0,2.5
2023-06-29T00:30:00-05:00,2.5,0.0,3.1
2023-06-29T00:35:00-05:00,3.1,0.0,3.1
2023-06-29T00:40:00-05:00,3.1,0.0,0.9
2023-06-29T00:45:00-05:00,0.9,0.0,1.9
2023-06-29T00:50:00-05:00,1.9,0.0,3.1
2023-06-29T00:55:00-05:00,3.1,0.0,2.6
2023-06-29T01:00:00-05:00,2.6,0.0,0.3
2023-06-29T01:05:00-05:00,0.3,0.0,1.8
2023-06-29T01:10:00-05:00,1.8,0.0,3.0
2023-06-29T01:15:00-05:00,3.0,0.0,3.0
2023-06-29T01:20:00-05:00,3.0,0.0,0.9
2023-06-29T01:25:00-05:00,0.9,0.0,0.8
2023-06-29T01:30:00-05:00,0.8,0.0,3.1
2023-06-29T01:35:00-05:00,3.1,0.0,3.0
2023-06-29T01:40:00-05:00,3.0,0.0,2.0
2023-06-29T01:45:00-05:00,2.0,0.0,0.2
2023-06-29T01:50:00-05:00,0.2,0.0,0.2
2023-06-29T01:55:00-05:00,0.2,0.0,3.0
2023-06-29T02:00:00-05:00,3.0,0.0,3.0
2023-06-29T02:05:00-05:00,3.0,0.0,0.9
2023-06-29T02:10:00-05:00,0.9,0.0,0.2
2023-06-29T02:15:00-05:00,0.2,0.0,1.3
2023-06-29T02:20:00-05:00,1.3,0.0,3.0
2023-06-29T02:25:00-05:00,3.0,0.0,5.8
2023-06-29T02:30:00-05:00,5.8,0.0,1.2
2023-06-29T02:35:00-05:00,1.2,0.0,0.8
2023-06-29T02:40:00-05:00,0.8,0.0,3.0
2023-06-29T02:45:00-05:00,3.0,0.0,2.0
2023-06-29T02:50:00-05:00,2.0,0.0,0.2
2023-06-29T02:55:00-05:00,0.2,0.0,0.2
2023-06-29T03:00:00-05:00,0.2,0.0,3.0
2023-06-29T03:05:00-05:00,3.0,0.0,2.0
2023-06-29T03:10:00-05:00,2.0,0.0,0.2
2023-06-29T03:15:00-05:00,0.2,0.0,0.2
2023-06-29T03:20:00-05:00,0.2,0.0,2.4
2023-06-29T03:25:00-05:00,2.4,0.0,2.5
2023-06-29T03:30:00-05:00,2.5,0.0,0.3
2023-06-29T03:35:00-05:00,0.3,0.0,0.2
2023-06-29T03:40:00-05:00,0.2,0.0,1.3
2023-06-29T03:45:00-05:00,1.3,0.0,2.9
2023-06-29T03:50:00-05:00,2.9,0.0,0.9
2023-06-29T03:55:00-05:00,0.9,0.0,0.2
2023-06-29T04:00:00-05:00,0.2,0.0,0.2
2023-06-29T04:05:00-05:00,0.2,0.0,2.5
2023-06-29T04:10:00-05:00,2.5,0.0,3.0
2023-06-29T04:15:00-05:00,3.0,0.0,0.4
2023-06-29T04:20:00-05:00,0.4,0.0,0.2
2023-06-29T04:25:00-05:00,0.2,0.0,0.2
2023-06-29T04:30:00-05:00,0.2,0.0,2.3
2023-06-29T04:35:00-05:00,2.3,0.0,2.9
2023-06-29T04:40:00-05:00,2.9,0.0,0.9
2023-06-29T04:45:00-05:00,0.9,0.0,0.2
2023-06-29T04:50:00-05:00,0.2,0.0,0.2
2023-06-29T04:55:00-05:00,0.2,0.0,1.3
2023-06-29T05:00:00-05:00,1.3,0.0,3.0
2023-06-29T05:05:00-05:00,3.0,0.0,1.5
2023-06-29T05:10:00-05:00,1.5,0.0,0.2
2023-06-29T05:15:00-05:00,0.2,0.0,0.2
2023-06-29T05:20:00-05:00,0.2,0.0,0.8
2023-06-29T05:25:00-05:00,0.8,0.0,2.9
2023-06-29T05:30:00-05:00,2.9,0.0,1.3
2023-06-29T05:35:00-05:00,1.3,0.0,0.2
